"ib","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
8.0971e+06,1,8.46e-08,8.46e-08,0,0
8.0857e+06,1,8.48e-08,8.48e-08,0,0
8.0744e+06,1,8.5e-08,8.5e-08,0,0
8.0632e+06,1,8.52e-08,8.52e-08,0,0
8.0519e+06,1,8.54e-08,8.54e-08,0,0
8.0407e+06,1,8.56e-08,8.56e-08,0,0
8.0295e+06,1,8.58e-08,8.58e-08,0,0
8.0183e+06,1,8.6e-08,8.6e-08,0,0
8.0071e+06,1,8.62e-08,8.62e-08,0,0
7.996e+06,1,8.64e-08,8.64e-08,0,0
7.9848e+06,1,8.66e-08,8.66e-08,0,0
7.9737e+06,1,8.68e-08,8.68e-08,0,0
7.9626e+06,1,8.7e-08,8.7e-08,0,0
7.9515e+06,1,8.72e-08,8.72e-08,0,0
7.9405e+06,1,8.74e-08,8.74e-08,0,0
7.9295e+06,1,8.76e-08,8.76e-08,0,0
7.9184e+06,1,8.78e-08,8.78e-08,0,0
7.9074e+06,1,8.8e-08,8.8e-08,0,0
7.8965e+06,1,8.82e-08,8.82e-08,0,0
7.8855e+06,1,8.84e-08,8.84e-08,0,0
7.8746e+06,1,8.86e-08,8.86e-08,0,0
7.8636e+06,1,8.88e-08,8.88e-08,0,0
7.8527e+06,1,8.9e-08,8.9e-08,0,0
7.8419e+06,1,8.92e-08,8.92e-08,0,0
7.831e+06,1,8.94e-08,8.94e-08,0,0
7.8202e+06,1,8.96e-08,8.96e-08,0,0
7.8093e+06,1,8.98e-08,8.98e-08,0,0
7.7985e+06,1,9e-08,9e-08,0,0
7.7877e+06,1,9.02e-08,9.02e-08,0,0
7.777e+06,1,9.04e-08,9.04e-08,0,0
7.7662e+06,1,9.06e-08,9.06e-08,0,0
7.7555e+06,1,9.08e-08,9.08e-08,0,0
7.7448e+06,1,9.1e-08,9.1e-08,0,0
7.7341e+06,1,9.12e-08,9.12e-08,0,0
7.7234e+06,1,9.14e-08,9.14e-08,0,0
7.7128e+06,1,9.16e-08,9.16e-08,0,0
7.7021e+06,1,9.18e-08,9.18e-08,0,0
7.6915e+06,1,9.2e-08,9.2e-08,0,0
7.6809e+06,1,9.22e-08,9.22e-08,0,0
7.6703e+06,1,9.24e-08,9.24e-08,0,0
7.6598e+06,1,9.26e-08,9.26e-08,0,0
7.6492e+06,1,9.28e-08,9.28e-08,0,0
7.6387e+06,1,9.3e-08,9.3e-08,0,0
7.6282e+06,1,9.32e-08,9.32e-08,0,0
7.6177e+06,1,9.34e-08,9.34e-08,0,0
7.6072e+06,1,9.36e-08,9.36e-08,0,0
7.5968e+06,1,9.38e-08,9.38e-08,0,0
7.5864e+06,1,9.4e-08,9.4e-08,0,0
7.576e+06,1,9.42e-08,9.42e-08,0,0
